application_date,business_age,annual_revenue,credit_score,loan_amount,existing_debt,debt_to_income_ratio,loan_to_income_ratio,default_probability,default,industry
2021-11-20,3.0,574810,760.0,249584,68021,0.12,0.43,0.176,0,Retail
2021-11-21,16.0,94858,796.0,284520,39319,0.41,3.0,0.851,1,Services
2021-11-22,12.0,635574,836.0,200794,80993,0.13,0.32,0.0,0,Other
2021-11-23,12.0,358457,846.0,39057,261728,0.73,0.11,0.132,1,Retail
2021-11-24,6.0,513478,606.0,310137,257839,0.5,0.6,0.529,1,Services
2021-11-25,6.0,1863668,514.0,31641,229808,0.12,0.02,0.541,1,Services
2021-11-26,4.0,601672,831.0,233585,133731,0.22,0.39,0.128,0,Manufacturing
2021-11-27,3.0,639748,682.0,173424,70611,0.11,0.27,0.358,1,Services
2021-11-28,17.0,451445,578.0,285655,151279,0.34,0.63,0.649,1,Retail
2021-11-29,8.0,528231,794.0,15528,150524,0.28,0.03,0.2,0,Other
2021-11-30,4.0,1679320,757.0,78081,178893,0.11,0.05,0.231,1,Services
2021-12-01,11.0,957989,538.0,351930,54848,0.06,0.37,0.42,1,Other
2021-12-02,11.0,231900,722.0,305796,20343,0.09,1.32,0.426,1,Retail
2021-12-03,12.0,124893,603.0,104132,288294,2.31,0.83,1.0,1,Retail
2021-12-04,11.0,1899201,807.0,412717,208730,0.11,0.22,0.199,0,Other
2021-12-05,18.0,1171579,752.0,147939,226338,0.19,0.13,0.172,0,Services
2021-12-06,15.0,696114,533.0,322935,135600,0.19,0.46,0.439,1,Services
2021-12-07,8.0,1012745,666.0,284888,155118,0.15,0.28,0.418,1,Services
2021-12-08,11.0,676112,610.0,302242,44522,0.07,0.45,0.22,1,Manufacturing
2021-12-09,6.0,1192983,708.0,227626,97939,0.08,0.19,0.156,0,Services
2021-12-10,13.0,940891,508.0,457827,63565,0.07,0.49,0.487,1,Manufacturing
2021-12-11,2.0,308677,734.0,310727,229357,0.74,1.01,0.495,1,Retail
2021-12-12,17.0,459123,517.0,234128,180813,0.39,0.51,0.508,1,Services
2021-12-13,2.0,675389,793.0,349739,153960,0.23,0.52,0.297,1,Other
2021-12-14,18.0,950403,512.0,402863,283835,0.3,0.42,0.499,1,Manufacturing
2021-12-15,12.0,1471617,760.0,480740,218911,0.15,0.33,0.0,0,Services
2021-12-16,18.0,688221,547.0,465404,129714,0.19,0.68,0.459,1,Retail
2021-12-17,11.0,1466848,820.0,130676,288748,0.2,0.09,0.047,0,Retail
2021-12-18,9.0,1792825,550.0,242540,53833,0.03,0.14,0.377,0,Retail
2021-12-19,6.0,1944865,670.0,215998,174030,0.09,0.11,0.277,0,Manufacturing
2021-12-20,4.0,402403,606.0,314047,35774,0.09,0.78,0.616,1,Other
2021-12-21,5.0,634961,805.0,52472,103337,0.16,0.08,0.025,0,Services
2021-12-22,19.0,1881638,568.0,215539,137460,0.07,0.11,0.251,0,Manufacturing
2021-12-23,5.0,1735886,508.0,291957,291389,0.17,0.17,0.35,0,Manufacturing
2021-12-24,5.0,1235930,543.0,39054,42670,0.03,0.03,0.299,1,Retail
2021-12-25,1.0,1180765,551.0,97377,87116,0.07,0.08,0.435,1,Retail
2021-12-26,7.0,734337,529.0,325058,134136,0.18,0.44,0.495,1,Services
2021-12-27,3.0,873156,637.0,200247,120353,0.14,0.23,0.31,1,Other
2021-12-28,15.0,671707,794.0,439509,201957,0.3,0.65,0.324,1,Other
2021-12-29,7.0,335202,533.0,415763,256266,0.76,1.24,0.782,1,Manufacturing
2021-12-30,16.0,726577,725.0,489411,137432,0.19,0.67,0.326,0,Other
2021-12-31,13.0,417858,513.0,413945,80096,0.19,0.99,0.491,1,Manufacturing
2022-01-01,2.0,1552556,722.0,345034,177509,0.11,0.22,0.444,1,Manufacturing
2022-01-02,2.0,84904,846.0,260475,220383,2.6,3.07,1.0,1,Services
2022-01-03,14.0,231667,673.0,127163,77441,0.33,0.55,0.18,0,Services
2022-01-04,2.0,1716053,843.0,176655,175645,0.1,0.1,0.268,0,Retail
2022-01-05,13.0,1153387,561.0,363264,198220,0.17,0.31,0.424,1,Retail
2022-01-06,10.0,288659,789.0,84977,262203,0.91,0.29,0.315,1,Retail
2022-01-07,5.0,1075936,803.0,311932,243902,0.23,0.29,0.213,1,Services
2022-01-08,16.0,362430,736.0,444512,90517,0.25,1.23,0.414,1,Services
2022-01-09,7.0,738834,626.0,35218,18907,0.03,0.05,0.042,0,Retail
2022-01-10,9.0,1074934,574.0,189980,282802,0.26,0.18,0.294,0,Manufacturing
2022-01-11,7.0,1341917,844.0,117000,265982,0.2,0.09,0.159,0,Retail
2022-01-12,2.0,1924440,554.0,167752,15658,0.01,0.09,0.139,0,Other
2022-01-13,4.0,480026,800.0,279636,270291,0.56,0.58,0.316,0,Manufacturing
2022-01-14,12.0,1588330,527.0,91917,156411,0.1,0.06,0.42,1,Services
2022-01-15,2.0,1483208,616.0,455245,160285,0.11,0.31,0.273,0,Manufacturing
2022-01-16,2.0,909694,698.0,459202,65108,0.07,0.5,0.377,1,Services
2022-01-17,2.0,978704,698.0,35546,140777,0.14,0.04,0.218,0,Retail
2022-01-18,10.0,967326,728.0,325789,145746,0.15,0.34,0.289,1,Manufacturing
2022-01-19,5.0,1688995,782.0,309839,22905,0.01,0.18,0.041,0,Other
2022-01-20,7.0,268031,626.0,411771,82613,0.31,1.54,0.545,1,Retail
2022-01-21,12.0,1170061,521.0,18345,268872,0.23,0.02,0.372,1,Retail
2022-01-22,11.0,1911982,534.0,432972,266856,0.14,0.23,0.327,0,Retail
2022-01-23,16.0,782216,848.0,265072,143977,0.18,0.34,0.173,0,Retail
2022-01-24,19.0,1384332,563.0,453367,206115,0.15,0.33,0.233,0,Retail
2022-01-25,10.0,987873,635.0,144181,76417,0.08,0.15,0.207,1,Other
2022-01-26,1.0,1482163,529.0,478921,214517,0.14,0.32,0.527,1,Services
2022-01-27,8.0,1221023,818.0,333142,184529,0.15,0.27,0.044,1,Manufacturing
2022-01-28,14.0,1682054,805.0,355391,165493,0.1,0.21,0.088,0,Retail
2022-01-29,9.0,1156902,631.0,439529,23152,0.02,0.38,0.414,0,Retail
2022-01-30,17.0,1212447,672.0,338149,60082,0.05,0.28,0.0,0,Other
2022-01-31,19.0,1042768,819.0,366949,158137,0.15,0.35,0.0,0,Services
2022-02-01,14.0,1116500,506.0,292719,278363,0.25,0.26,0.431,1,Manufacturing
2022-02-02,5.0,1575658,525.0,133892,291449,0.18,0.08,0.491,1,Manufacturing
2022-02-03,15.0,1653036,654.0,429208,138487,0.08,0.26,0.197,1,Retail
2022-02-04,2.0,1892966,751.0,248967,59212,0.03,0.13,0.177,0,Manufacturing
2022-02-05,11.0,998811,828.0,479800,167931,0.17,0.48,0.176,1,Services
2022-02-06,19.0,366255,847.0,132180,189580,0.52,0.36,0.199,0,Manufacturing
2022-02-07,4.0,764606,548.0,388585,260157,0.34,0.51,0.402,0,Other
2022-02-08,12.0,412860,551.0,307671,35230,0.09,0.75,0.45,1,Manufacturing
2022-02-09,19.0,226921,661.0,181525,98226,0.43,0.8,0.413,1,Retail
2022-02-10,3.0,991363,733.0,396249,179323,0.18,0.4,0.212,1,Other
2022-02-11,2.0,504061,737.0,379434,240474,0.48,0.75,0.262,1,Services
2022-02-12,4.0,1465571,665.0,73364,104261,0.07,0.05,0.285,0,Other
2022-02-13,8.0,705312,725.0,365175,59379,0.08,0.52,0.057,0,Manufacturing
2022-02-14,15.0,722437,521.0,143142,42308,0.06,0.2,0.231,0,Services
2022-02-15,18.0,1155925,728.0,224033,169715,0.15,0.19,0.148,1,Other
2022-02-16,5.0,789963,608.0,129694,14289,0.02,0.16,0.128,0,Other
2022-02-17,12.0,930633,522.0,73347,150709,0.16,0.08,0.447,1,Services
2022-02-18,12.0,1984857,750.0,196842,163855,0.08,0.1,0.064,0,Services
2022-02-19,5.0,980934,782.0,406980,149930,0.15,0.41,0.11,0,Other
2022-02-20,7.0,1815447,707.0,62473,120847,0.07,0.03,0.103,0,Manufacturing
2022-02-21,14.0,196831,530.0,495862,184576,0.94,2.52,1.0,1,Services
2022-02-22,7.0,1892698,627.0,411073,22038,0.01,0.22,0.143,0,Other
2022-02-23,8.0,713212,601.0,101527,293381,0.41,0.14,0.557,1,Manufacturing
2022-02-24,1.0,1903647,501.0,93176,129388,0.07,0.05,0.471,1,Other
2022-02-25,8.0,80983,781.0,310892,280146,3.46,3.84,1.0,1,Manufacturing
2022-02-26,15.0,1510743,842.0,274983,216104,0.14,0.18,0.0,0,Retail
2022-02-27,3.0,293506,577.0,290370,69371,0.24,0.99,0.616,1,Other
2022-02-28,13.0,472464,502.0,441775,123432,0.26,0.94,0.671,1,Manufacturing
2022-03-01,7.0,1925105,795.0,277372,162185,0.08,0.14,0.128,0,Other
2022-03-02,13.0,1607226,645.0,428420,157267,0.1,0.27,0.314,1,Other
2022-03-03,18.0,743424,751.0,129187,100517,0.14,0.17,0.0,0,Manufacturing
2022-03-04,19.0,781570,740.0,301365,253246,0.32,0.39,0.37,1,Services
2022-03-05,4.0,100751,684.0,418467,185606,1.84,4.15,1.0,1,Other
2022-03-06,5.0,1629859,742.0,333427,231983,0.14,0.2,0.137,0,Services
2022-03-07,18.0,125868,788.0,364278,123241,0.98,2.89,0.881,1,Manufacturing
2022-03-08,2.0,358761,628.0,447786,64203,0.18,1.25,0.549,1,Manufacturing
2022-03-09,6.0,799681,655.0,116846,138768,0.17,0.15,0.34,1,Other
2022-03-10,6.0,633803,791.0,441647,236498,0.37,0.7,0.361,1,Other
2022-03-11,14.0,1761681,707.0,86565,15305,0.01,0.05,0.059,0,Other
2022-03-12,7.0,367333,651.0,427158,224700,0.61,1.16,0.592,1,Retail
2022-03-13,5.0,186666,533.0,115459,208581,1.12,0.62,0.755,1,Other
2022-03-14,2.0,1765532,504.0,443612,120666,0.07,0.25,0.397,1,Retail
2022-03-15,13.0,1736279,810.0,142966,87675,0.05,0.08,0.0,0,Retail
2022-03-16,1.0,1222262,818.0,147368,287779,0.24,0.12,0.165,0,Other
2022-03-17,16.0,539990,639.0,170506,140982,0.26,0.32,0.252,1,Services
2022-03-18,9.0,1158714,807.0,440102,51608,0.04,0.38,0.15,1,Other
2022-03-19,19.0,1086468,657.0,431538,68364,0.06,0.4,0.278,1,Services
2022-03-20,4.0,1340948,532.0,55302,224986,0.17,0.04,0.429,1,Retail
2022-03-21,2.0,278970,515.0,76272,19941,0.07,0.27,0.546,1,Other
2022-03-22,3.0,1615801,810.0,225002,232192,0.14,0.14,0.163,1,Retail
2022-03-23,1.0,1468259,844.0,488457,298851,0.2,0.33,0.149,1,Manufacturing
2022-03-24,1.0,325804,572.0,419632,37592,0.12,1.29,0.448,0,Retail
2022-03-25,2.0,1790701,601.0,343445,146249,0.08,0.19,0.388,0,Manufacturing
2022-03-26,18.0,975255,847.0,171510,151515,0.16,0.18,0.0,0,Other
2022-03-27,19.0,1299936,706.0,398159,127330,0.1,0.31,0.0,0,Retail
2022-03-28,9.0,1684914,815.0,160670,245287,0.15,0.1,0.008,0,Services
2022-03-29,14.0,1422401,557.0,138851,150376,0.11,0.1,0.46,1,Other
2022-03-30,7.0,887754,782.0,255399,97833,0.11,0.29,0.002,0,Retail
2022-03-31,3.0,1624555,835.0,279871,128659,0.08,0.17,0.031,1,Services
2022-04-01,9.0,1816293,752.0,373649,88280,0.05,0.21,0.082,0,Retail
2022-04-02,10.0,367200,777.0,171354,95680,0.26,0.47,0.107,0,Other
2022-04-03,4.0,452711,801.0,327321,158829,0.35,0.72,0.144,0,Other
2022-04-04,14.0,1239929,582.0,31860,74603,0.06,0.03,0.414,1,Retail
2022-04-05,13.0,277865,506.0,12200,203519,0.73,0.04,0.667,1,Other
2022-04-06,7.0,226989,805.0,78544,57033,0.25,0.35,0.087,1,Other
2022-04-07,2.0,756968,674.0,249330,109145,0.14,0.33,0.342,1,Other
2022-04-08,19.0,137119,623.0,458329,258761,1.89,3.34,1.0,1,Services
2022-04-09,10.0,408160,784.0,412117,20015,0.05,1.01,0.18,0,Services
2022-04-10,7.0,464268,501.0,433175,170728,0.37,0.93,0.7,1,Other
2022-04-11,11.0,1911657,654.0,72484,16839,0.01,0.04,0.098,1,Retail
2022-04-12,3.0,166689,812.0,147433,216163,1.3,0.88,0.784,1,Retail
2022-04-13,13.0,749942,819.0,10025,57972,0.08,0.01,0.125,1,Retail
2022-04-14,6.0,1404632,544.0,133976,185538,0.13,0.1,0.508,1,Manufacturing
2022-04-15,4.0,557656,517.0,408971,170400,0.31,0.73,0.586,1,Retail
2022-04-16,17.0,1311417,723.0,376162,285584,0.22,0.29,0.09,0,Manufacturing
2022-04-17,17.0,1896959,682.0,249520,193657,0.1,0.13,0.093,1,Retail
2022-04-18,8.0,316165,590.0,149112,209990,0.66,0.47,0.599,1,Services
2022-04-19,4.0,1483867,668.0,151919,79241,0.05,0.1,0.429,1,Other
2022-04-20,12.0,851084,631.0,225473,114638,0.13,0.26,0.309,1,Other
2022-04-21,14.0,1184380,542.0,483056,115363,0.1,0.41,0.325,1,Manufacturing
2022-04-22,1.0,1040747,637.0,276696,131133,0.13,0.27,0.328,1,Other
2022-04-23,19.0,800683,780.0,296055,245340,0.31,0.37,0.175,0,Manufacturing
2022-04-24,15.0,1355168,683.0,102228,288778,0.21,0.08,0.194,0,Other
2022-04-25,17.0,1577974,671.0,405571,71473,0.05,0.26,0.37,1,Retail
2022-04-26,12.0,1457605,749.0,315107,257227,0.18,0.22,0.149,0,Retail
2022-04-27,11.0,1833011,512.0,134548,69834,0.04,0.07,0.23,0,Services
2022-04-28,17.0,1419042,768.0,32404,145546,0.1,0.02,0.072,1,Retail
2022-04-29,16.0,425693,618.0,461025,117746,0.28,1.08,0.6,1,Retail
2022-04-30,5.0,1407972,528.0,373114,213163,0.15,0.27,0.571,1,Other
2022-05-01,17.0,1335213,773.0,472742,121282,0.09,0.35,0.223,0,Services
2022-05-02,15.0,501907,694.0,206437,122025,0.24,0.41,0.266,0,Services
2022-05-03,15.0,635855,702.0,191854,97227,0.15,0.3,0.134,0,Services
2022-05-04,17.0,1331006,632.0,120594,271633,0.2,0.09,0.118,1,Other
2022-05-05,18.0,731361,830.0,323933,109169,0.15,0.44,0.166,1,Retail
2022-05-06,4.0,901606,600.0,307939,48839,0.05,0.34,0.478,1,Retail
2022-05-07,1.0,1558472,596.0,227677,261706,0.17,0.15,0.426,1,Manufacturing
2022-05-08,18.0,185184,746.0,72051,157197,0.85,0.39,0.434,1,Other
2022-05-09,9.0,1017078,525.0,288891,78898,0.08,0.28,0.403,1,Other
2022-05-10,8.0,1780023,674.0,106567,182205,0.1,0.06,0.082,0,Manufacturing
2022-05-11,13.0,1555654,648.0,411930,32833,0.02,0.26,0.352,1,Other
2022-05-12,16.0,710891,548.0,57331,157551,0.22,0.08,0.252,0,Services
2022-05-13,4.0,1657234,760.0,400397,250576,0.15,0.24,0.28,0,Other
2022-05-14,13.0,1329978,821.0,361472,49421,0.04,0.27,0.0,0,Other
2022-05-15,18.0,992203,522.0,370908,25074,0.03,0.37,0.416,1,Other
2022-05-16,5.0,858180,773.0,122890,143147,0.17,0.14,0.107,0,Services
2022-05-17,17.0,762453,697.0,209538,249624,0.33,0.27,0.21,0,Manufacturing
2022-05-18,10.0,1199262,532.0,396332,139863,0.12,0.33,0.398,1,Retail
2022-05-19,10.0,426524,689.0,201592,296212,0.69,0.47,0.44,1,Other
2022-05-20,11.0,1477002,837.0,23931,283838,0.19,0.02,0.02,0,Manufacturing
2022-05-21,18.0,1699581,759.0,16654,21811,0.01,0.01,0.126,0,Retail
2022-05-22,3.0,1666588,742.0,148632,6038,0.0,0.09,0.181,0,Services
2022-05-23,11.0,1270757,643.0,44437,288235,0.23,0.03,0.185,1,Manufacturing
2022-05-24,6.0,1170640,714.0,106901,106808,0.09,0.09,0.052,0,Manufacturing
2022-05-25,8.0,1910229,649.0,54131,244202,0.13,0.03,0.289,1,Other
2022-05-26,12.0,86633,695.0,158112,12099,0.14,1.83,0.454,1,Other
2022-05-27,1.0,1841476,768.0,394911,94998,0.05,0.21,0.022,0,Retail
2022-05-28,1.0,476711,712.0,323479,150835,0.32,0.68,0.489,1,Retail
2022-05-29,2.0,1497583,594.0,138451,258996,0.17,0.09,0.139,0,Manufacturing
2022-05-30,10.0,678746,669.0,344105,244327,0.36,0.51,0.312,1,Manufacturing
2022-05-31,7.0,1848073,823.0,133866,204588,0.11,0.07,0.084,0,Other
2022-06-01,17.0,1765841,704.0,301486,180047,0.1,0.17,0.336,1,Retail
2022-06-02,19.0,1788024,698.0,137398,105957,0.06,0.08,0.18,0,Retail
2022-06-03,2.0,1833480,567.0,342498,39428,0.02,0.19,0.271,1,Manufacturing
2022-06-04,1.0,398261,819.0,284797,235916,0.59,0.72,0.373,1,Services
2022-06-05,10.0,1528857,621.0,371886,176233,0.12,0.24,0.476,1,Services
2022-06-06,18.0,1668430,631.0,57907,13482,0.01,0.03,0.323,0,Manufacturing
2022-06-07,16.0,1331749,513.0,88059,1213,0.0,0.07,0.299,1,Retail
2022-06-08,10.0,227663,536.0,356662,84779,0.37,1.57,0.524,1,Retail
2022-06-09,5.0,154235,700.0,76565,96196,0.62,0.5,0.467,1,Services
2022-06-10,1.0,763062,756.0,103799,136536,0.18,0.14,0.14,1,Services
2022-06-11,12.0,1522809,512.0,362476,22614,0.01,0.24,0.474,1,Other
2022-06-12,11.0,1872027,600.0,102442,195672,0.1,0.05,0.392,0,Retail
2022-06-13,2.0,414037,537.0,294177,297095,0.72,0.71,0.633,1,Manufacturing
2022-06-14,2.0,1068820,750.0,330351,25239,0.02,0.31,0.103,0,Other
2022-06-15,18.0,1246256,542.0,298865,222444,0.18,0.24,0.436,1,Manufacturing
2022-06-16,15.0,804164,832.0,64546,270255,0.34,0.08,0.11,0,Retail
2022-06-17,8.0,856477,565.0,244149,212634,0.25,0.29,0.518,1,Other
2022-06-18,2.0,1343170,512.0,404479,165489,0.12,0.3,0.413,1,Retail
2022-06-19,1.0,1097791,,305462,157205,0.14,0.28,0.299,1,Services
2022-06-20,16.0,566088,696.0,266102,44615,0.08,0.47,0.085,0,Manufacturing
2022-06-21,19.0,1441200,652.0,134728,297994,0.21,0.09,0.216,0,Services
2022-06-22,4.0,1877814,738.0,215283,74431,0.04,0.11,0.062,0,Other
2022-06-23,5.0,734248,780.0,426107,14317,0.02,0.58,0.18,1,Manufacturing
2022-06-24,13.0,588147,510.0,76417,131105,0.22,0.13,0.491,1,Other
2022-06-25,10.0,1592020,588.0,359540,199843,0.13,0.23,0.237,0,Manufacturing
2022-06-26,8.0,373574,514.0,298068,147606,0.4,0.8,0.837,1,Manufacturing
2022-06-27,7.0,1486416,669.0,165219,233131,0.16,0.11,0.248,1,Other
2022-06-28,16.0,1993472,646.0,33500,264991,0.13,0.02,0.323,0,Other
2022-06-29,10.0,1585565,568.0,326499,161110,0.1,0.21,0.251,0,Services
2022-06-30,19.0,1535944,798.0,185616,174990,0.11,0.12,0.114,0,Other
2022-07-01,1.0,738451,673.0,97045,33222,0.04,0.13,0.34,1,Other
2022-07-02,6.0,1045191,780.0,223569,214267,0.21,0.21,0.127,0,Other
2022-07-03,6.0,661516,657.0,79249,291205,0.44,0.12,0.495,1,Other
2022-07-04,3.0,71324,703.0,318288,2742,0.04,4.46,1.0,1,Retail
2022-07-05,7.0,1003826,585.0,92562,63292,0.06,0.09,0.269,1,Retail
2022-07-06,19.0,526996,837.0,229871,44426,0.08,0.44,0.058,0,Manufacturing
2022-07-07,6.0,992418,745.0,465370,153120,0.15,0.47,0.225,0,Manufacturing
2022-07-08,6.0,1282956,790.0,147691,166011,0.13,0.12,0.187,0,Manufacturing
2022-07-09,6.0,1305733,779.0,272935,55470,0.04,0.21,0.134,0,Services
2022-07-10,14.0,1565976,844.0,386094,167962,0.11,0.25,0.097,0,Other
2022-07-11,17.0,962751,522.0,210373,127244,0.13,0.22,0.248,0,Services
2022-07-12,2.0,1705690,818.0,218297,127762,0.07,0.13,0.018,0,Manufacturing
2022-07-13,7.0,1662140,608.0,162561,156077,0.09,0.1,0.207,0,Retail
2022-07-14,13.0,1213162,502.0,198584,162011,0.13,0.16,0.449,1,Other
2022-07-15,9.0,1203882,817.0,364096,121829,0.1,0.3,0.017,0,Retail
2022-07-16,12.0,825195,500.0,339488,188996,0.23,0.41,0.41,1,Retail
2022-07-17,9.0,676727,521.0,311705,234663,0.35,0.46,0.545,1,Other
2022-07-18,14.0,389401,751.0,241389,165789,0.43,0.62,0.176,1,Services
2022-07-19,3.0,682002,520.0,364012,292312,0.43,0.53,0.719,1,Retail
2022-07-20,16.0,1844987,532.0,245109,72507,0.04,0.13,0.437,0,Services
2022-07-21,8.0,69361,732.0,10270,179078,2.58,0.15,0.93,1,Other
2022-07-22,18.0,702171,675.0,289230,249952,0.36,0.41,0.377,1,Services
2022-07-23,19.0,836821,530.0,79285,125389,0.15,0.09,0.409,1,Manufacturing
2022-07-24,1.0,665046,550.0,108999,2400,0.0,0.16,0.264,0,Other
2022-07-25,10.0,847825,532.0,280502,188382,0.22,0.33,0.467,1,Other
2022-07-26,2.0,1437545,579.0,20207,130680,0.09,0.01,0.308,1,Manufacturing
2022-07-27,12.0,1543856,789.0,409618,48960,0.03,0.27,0.102,0,Services
2022-07-28,19.0,1922855,732.0,276566,278407,0.14,0.14,0.036,1,Manufacturing
2022-07-29,6.0,1671326,608.0,376899,181171,0.11,0.23,0.4,1,Retail
2022-07-30,16.0,913665,651.0,364724,195245,0.21,0.4,0.412,1,Manufacturing
2022-07-31,11.0,1040998,752.0,10070,174026,0.17,0.01,0.17,0,Services
2022-08-01,19.0,811043,581.0,121399,218642,0.27,0.15,0.31,0,Manufacturing
2022-08-02,7.0,1716370,537.0,144632,222865,0.13,0.08,0.618,1,Services
2022-08-03,7.0,1488602,652.0,90168,214892,0.14,0.06,0.274,1,Manufacturing
2022-08-04,3.0,336033,650.0,421300,20229,0.06,1.25,0.505,1,Services
2022-08-05,14.0,1196673,796.0,176859,81791,0.07,0.15,0.051,1,Services
2022-08-06,5.0,1236163,599.0,376271,259609,0.21,0.3,0.368,0,Other
2022-08-07,1.0,1300433,826.0,241229,165787,0.13,0.19,0.247,0,Other
2022-08-08,4.0,1038961,509.0,194919,217575,0.21,0.19,0.507,1,Other
2022-08-09,4.0,1889739,565.0,444390,60610,0.03,0.24,0.442,1,Services
2022-08-10,11.0,1753570,603.0,228311,258218,0.15,0.13,0.335,1,Other
2022-08-11,18.0,176565,648.0,439570,234352,1.33,2.49,0.915,1,Services
2022-08-12,16.0,389287,686.0,137750,120849,0.31,0.35,0.285,1,Manufacturing
2022-08-13,7.0,113625,569.0,414828,32193,0.28,3.65,1.0,1,Other
2022-08-14,2.0,1357983,585.0,114143,277392,0.2,0.08,0.292,0,Manufacturing
2022-08-15,18.0,1266646,771.0,320772,26442,0.02,0.25,0.0,0,Manufacturing
2022-08-16,11.0,1214626,515.0,30005,209496,0.17,0.02,0.329,0,Retail
2022-08-17,15.0,559619,697.0,99362,228628,0.41,0.18,0.441,1,Other
2022-08-18,3.0,949737,837.0,177615,179592,0.19,0.19,0.157,0,Services
2022-08-19,18.0,1000898,573.0,471673,238179,0.24,0.47,0.504,1,Other
2022-08-20,14.0,1382700,514.0,156628,208234,0.15,0.11,0.257,0,Services
2022-08-21,8.0,902091,557.0,343492,90859,0.1,0.38,0.406,1,Manufacturing
2022-08-22,11.0,499785,727.0,338014,23466,0.05,0.68,0.28,0,Manufacturing
2022-08-23,17.0,1876847,661.0,32003,112376,0.06,0.02,0.119,0,Retail
2022-08-24,8.0,1841726,510.0,321546,185648,0.1,0.17,0.392,1,Other
2022-08-25,8.0,225947,679.0,72776,59640,0.26,0.32,0.281,1,Manufacturing
2022-08-26,1.0,1329974,791.0,171732,73091,0.05,0.13,0.169,0,Manufacturing
2022-08-27,6.0,1228928,734.0,394291,111218,0.09,0.32,0.214,1,Other
2022-08-28,5.0,92879,740.0,431768,206071,2.22,4.65,1.0,1,Services
2022-08-29,17.0,1707242,714.0,244185,191217,0.11,0.14,0.153,0,Other
2022-08-30,4.0,1293993,703.0,102715,9836,0.01,0.08,0.112,0,Services
2022-08-31,11.0,851943,564.0,353788,88089,0.1,0.42,0.332,1,Services
2022-09-01,13.0,740497,502.0,481796,204680,0.28,0.65,0.683,1,Retail
2022-09-02,7.0,1712878,599.0,164942,239084,0.14,0.1,0.208,1,Manufacturing
2022-09-03,10.0,1557338,688.0,101290,270539,0.17,0.07,0.282,0,Services
2022-09-04,1.0,274264,599.0,443726,138281,0.5,1.62,0.733,1,Manufacturing
2022-09-05,12.0,392515,746.0,223582,134979,0.34,0.57,0.142,0,Other
2022-09-06,7.0,363588,781.0,312109,31368,0.09,0.86,0.321,1,Services
2022-09-07,1.0,209480,808.0,58896,141955,0.68,0.28,0.302,0,Other
2022-09-08,16.0,1438446,635.0,245438,67665,0.05,0.17,0.109,0,Services
2022-09-09,12.0,1925614,602.0,470318,203384,0.11,0.24,0.29,1,Manufacturing
2022-09-10,1.0,892589,775.0,240303,10738,0.01,0.27,0.22,1,Retail
2022-09-11,19.0,1651637,813.0,384856,251311,0.15,0.23,0.055,0,Services
2022-09-12,11.0,1701035,510.0,361948,24442,0.01,0.21,0.168,0,Retail
2022-09-13,5.0,380841,635.0,12193,188929,0.5,0.03,0.452,1,Retail
2022-09-14,15.0,1630243,683.0,337397,80300,0.05,0.21,0.221,0,Services
2022-09-15,8.0,180024,812.0,364125,111073,0.62,2.02,0.618,1,Services
2022-09-16,1.0,452081,531.0,422066,50463,0.11,0.93,0.55,1,Manufacturing
2022-09-17,17.0,1549167,831.0,104642,259987,0.17,0.07,0.025,1,Other
2022-09-18,19.0,57236,731.0,100129,32121,0.56,1.75,0.449,1,Retail
2022-09-19,15.0,138157,674.0,28461,288794,2.09,0.21,0.96,1,Retail
2022-09-20,9.0,1777779,595.0,331524,198733,0.11,0.19,0.366,0,Manufacturing
2022-09-21,3.0,1526258,513.0,212616,285634,0.19,0.14,0.444,1,Services
2022-09-22,17.0,266177,692.0,472029,61815,0.23,1.77,0.487,1,Manufacturing
2022-09-23,14.0,715692,555.0,263653,116560,0.16,0.37,0.373,0,Other
2022-09-24,1.0,1456403,659.0,260907,13397,0.01,0.18,0.261,0,Services
2022-09-25,13.0,818501,832.0,486719,68250,0.08,0.59,0.11,0,Other
2022-09-26,9.0,1404635,676.0,37907,112382,0.08,0.03,0.112,1,Services
2022-09-27,8.0,1629818,619.0,21792,108099,0.07,0.01,0.448,1,Services
2022-09-28,4.0,1176966,794.0,472035,188002,0.16,0.4,0.037,0,Retail
2022-09-29,12.0,1599686,515.0,264192,69797,0.04,0.17,0.359,1,Other
2022-09-30,3.0,1366332,639.0,187532,62554,0.05,0.14,0.322,0,Manufacturing
2022-10-01,1.0,717808,710.0,206429,85311,0.12,0.29,0.371,1,Retail
2022-10-02,6.0,1443224,768.0,465130,191081,0.13,0.32,0.172,0,Manufacturing
2022-10-03,16.0,767328,834.0,376818,123819,0.16,0.49,0.279,1,Services
2022-10-04,4.0,1222919,800.0,409996,80948,0.07,0.34,0.133,0,Services
2022-10-05,11.0,1385799,661.0,320927,127567,0.09,0.23,0.174,1,Other
2022-10-06,4.0,925408,638.0,494070,159865,0.17,0.53,0.4,1,Retail
2022-10-07,6.0,1954921,714.0,328229,228750,0.12,0.17,0.179,1,Retail
2022-10-08,1.0,1990041,828.0,12487,211223,0.11,0.01,0.132,0,Retail
2022-10-09,19.0,660747,832.0,15433,175798,0.27,0.02,0.073,0,Manufacturing
2022-10-10,12.0,684202,781.0,76942,202263,0.3,0.11,0.0,0,Retail
2022-10-11,11.0,170683,784.0,56034,188350,1.1,0.33,0.393,1,Other
